# use CTRL + F to search

Symbol: AGLD | Network: ETH | Withdrawal fee: 7.92
Symbol: STPT | Network: ETH | Withdrawal fee: 97
Symbol: MXN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: UGX | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: GLM | Network: ETH | Withdrawal fee: 19
Symbol: RAY | Network: SOL | Withdrawal fee: 0.67
Symbol: NEAR | Network: BSC | Withdrawal fee: 0.039
Symbol: NEAR | Network: NEAR | Withdrawal fee: 0.01
Symbol: NEAR | Network: BNB | Withdrawal fee: 0.073
Symbol: AUDIO | Network: ETH | Withdrawal fee: 15
Symbol: ADADOWN | Network: ETF | Withdrawal fee: 0
Symbol: FARM | Network: BSC | Withdrawal fee: 0.0023
Symbol: FARM | Network: ETH | Withdrawal fee: 0.14
Symbol: SDG | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: XNO | Network: NANO | Withdrawal fee: 0.026
Symbol: DGB | Network: DGB | Withdrawal fee: 0.2
Symbol: ZRX | Network: ETH | Withdrawal fee: 17
Symbol: SANTOS | Network: BSC | Withdrawal fee: 0.017
Symbol: WING | Network: ONT | Withdrawal fee: 0.0018
Symbol: WNXM | Network: ETH | Withdrawal fee: 0.19
Symbol: BCH | Network: BSC | Withdrawal fee: 0.00068
Symbol: BCH | Network: BCH | Withdrawal fee: 0.00064
Symbol: BCH | Network: BNB | Withdrawal fee: 0.0012
Symbol: BCH | Network: ETH | Withdrawal fee: 0.039
Symbol: JST | Network: BSC | Withdrawal fee: 3.02
Symbol: JST | Network: TRX | Withdrawal fee: 50
Symbol: ADAUP | Network: ETF | Withdrawal fee: 0
Symbol: HOT | Network: ETH | Withdrawal fee: 2452
Symbol: XOF | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: GMT | Network: BSC | Withdrawal fee: 0.24
Symbol: GMT | Network: ETH | Withdrawal fee: 13
Symbol: GMT | Network: SOL | Withdrawal fee: 0.51
Symbol: AR | Network: AR | Withdrawal fee: 0.03
Symbol: IRIS | Network: IRIS | Withdrawal fee: 1
Symbol: GMX | Network: AVAXC | Withdrawal fee: 0.02
Symbol: GMX | Network: ARBITRUM | Withdrawal fee: 0.006
Symbol: BCX | Network: BCX | Withdrawal fee: 0.5
Symbol: SEK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: RCN | Network: ETH | Withdrawal fee: 2070
Symbol: QAR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: FLM | Network: NEO3 | Withdrawal fee: 0.5
Symbol: FLM | Network: NEO | Withdrawal fee: 0.5
Symbol: GNO | Network: ETH | Withdrawal fee: 0.045
Symbol: VITE | Network: BSC | Withdrawal fee: 2.91
Symbol: VITE | Network: VITE | Withdrawal fee: 1
Symbol: GNS | Network: ARBITRUM | Withdrawal fee: 0.3
Symbol: GNS | Network: MATIC | Withdrawal fee: 0.032
Symbol: FLR | Network: FLR | Withdrawal fee: 0.1
Symbol: CFX | Network: BSC | Withdrawal fee: 0.41
Symbol: T | Network: ETH | Withdrawal fee: 141
Symbol: LYD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: KWD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: SFP | Network: BSC | Withdrawal fee: 0.17
Symbol: DIA | Network: BSC | Withdrawal fee: 0.22
Symbol: DIA | Network: ETH | Withdrawal fee: 13
Symbol: ACA | Network: ACA | Withdrawal fee: 0.2
Symbol: ARDR | Network: ARDR | Withdrawal fee: 2
Symbol: NEBL | Network: NEBL | Withdrawal fee: 0.01
Symbol: NEBL | Network: BSC | Withdrawal fee: 0.058
Symbol: NEBL | Network: ETH | Withdrawal fee: 13
Symbol: ACH | Network: BSC | Withdrawal fee: 2.3
Symbol: ACH | Network: ETH | Withdrawal fee: 120
Symbol: BEL | Network: BSC | Withdrawal fee: 0.12
Symbol: BEL | Network: BNB | Withdrawal fee: 0.24
Symbol: BEL | Network: ETH | Withdrawal fee: 7.52
Symbol: JUV | Network: BSC | Withdrawal fee: 0.01
Symbol: JUV | Network: CHZ | Withdrawal fee: 0
Symbol: ACM | Network: CHZ | Withdrawal fee: 0
Symbol: MINA | Network: MINA | Withdrawal fee: 0.5
Symbol: GRTDOWN | Network: ETF | Withdrawal fee: 0
Symbol: VTHO | Network: VET | Withdrawal fee: 200
Symbol: WOO | Network: BSC | Withdrawal fee: 0.42
Symbol: WOO | Network: ETH | Withdrawal fee: 20
Symbol: REI | Network: REI | Withdrawal fee: 0.03
Symbol: REN | Network: ETH | Withdrawal fee: 49
Symbol: ADA | Network: BSC | Withdrawal fee: 0.25
Symbol: ADA | Network: ADA | Withdrawal fee: 0.8
Symbol: ADA | Network: BNB | Withdrawal fee: 0.39
Symbol: ELF | Network: BSC | Withdrawal fee: 0.34
Symbol: ELF | Network: ELF | Withdrawal fee: 1
Symbol: ELF | Network: BNB | Withdrawal fee: 0.51
Symbol: ELF | Network: ETH | Withdrawal fee: 15
Symbol: REQ | Network: ETH | Withdrawal fee: 48
Symbol: STORJ | Network: ETH | Withdrawal fee: 12
Symbol: CHF | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: HRK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: DF | Network: BSC | Withdrawal fee: 1.65
Symbol: DF | Network: ETH | Withdrawal fee: 75
Symbol: RARE | Network: ETH | Withdrawal fee: 40
Symbol: EOSDOWN | Network: ETF | Withdrawal fee: 0
Symbol: PAXG | Network: ETH | Withdrawal fee: 0.0024
Symbol: PAX | Network: BSC | Withdrawal fee: 0
Symbol: PAX | Network: BNB | Withdrawal fee: 0
Symbol: CHR | Network: BSC | Withdrawal fee: 0.52
Symbol: CHR | Network: ETH | Withdrawal fee: 29
Symbol: VND | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: BCHDOWN | Network: ETF | Withdrawal fee: 0
Symbol: WAVES | Network: BSC | Withdrawal fee: 0.036
Symbol: WAVES | Network: WAVES | Withdrawal fee: 0.0016
Symbol: CHZ | Network: BNB | Withdrawal fee: 1.25
Symbol: CHZ | Network: ETH | Withdrawal fee: 38
Symbol: ADX | Network: BSC | Withdrawal fee: 0.47
Symbol: ADX | Network: ETH | Withdrawal fee: 25
Symbol: XRP | Network: BSC | Withdrawal fee: 0.24
Symbol: XRP | Network: XRP | Withdrawal fee: 0.2
