# use CTRL + F to search

Symbol: AGLD | Network: ERC20 | Withdrawal fee: 6.76
Symbol: MATIC | Network: MATIC | Withdrawal fee: 0.1
Symbol: MATIC | Network: ERC20 | Withdrawal fee: 10
Symbol: MATIC | Network: BSC (BEP20) | Withdrawal fee: 1
Symbol: AGLA | Network: ERC20 | Withdrawal fee: 50
Symbol: AGLA | Network: SOL | Withdrawal fee: 10
Symbol: APT | Network: APTOS | Withdrawal fee: 0.01
Symbol: DFI | Network: ERC20 | Withdrawal fee: 12
Symbol: ZAM | Network: ERC20 | Withdrawal fee: 400
Symbol: ZAM | Network: BSC (BEP20) | Withdrawal fee: 6
Symbol: STG | Network: ERC20 | Withdrawal fee: 5
Symbol: SHIB | Network: ERC20 | Withdrawal fee: 360000
Symbol: SHIB | Network: BSC (BEP20) | Withdrawal fee: 1500
Symbol: KDA | Network: KDA | Withdrawal fee: 0.1
Symbol: DFL | Network: SOL | Withdrawal fee: 80
Symbol: NEAR | Network: NEAR | Withdrawal fee: 0.01
Symbol: HNT | Network: HNT | Withdrawal fee: 0.05
Symbol: RLTM | Network: ERC20 | Withdrawal fee: 50
Symbol: STX | Network: STX | Withdrawal fee: 2
Symbol: ZBC | Network: SOL | Withdrawal fee: 20
Symbol: DRIV | Network: BSC (BEP20) | Withdrawal fee: 50
Symbol: LFW | Network: BSC (BEP20) | Withdrawal fee: 2.5
Symbol: DGB | Network: DGB | Withdrawal fee: 0.2
Symbol: ZRX | Network: ERC20 | Withdrawal fee: 27
Symbol: MDAO | Network: BSC (BEP20) | Withdrawal fee: 2
Symbol: BCH | Network: Bitcoin Cash | Withdrawal fee: 0.01
Symbol: CAKE | Network: BSC (BEP20) | Withdrawal fee: 0.016
Symbol: OMG | Network: ERC20 | Withdrawal fee: 2.01
Symbol: JST | Network: TRC20 | Withdrawal fee: 50
Symbol: CEL | Network: ERC20 | Withdrawal fee: 9.14
Symbol: HOT | Network: ERC20 | Withdrawal fee: 2400
Symbol: BANA | Network: ERC20 | Withdrawal fee: 1000
Symbol: SUN | Network: TRC20 | Withdrawal fee: 10
Symbol: GMT | Network: SOL | Withdrawal fee: 0.25
Symbol: GMT | Network: BSC (BEP20) | Withdrawal fee: 1
Symbol: BTC | Network: BTC | Withdrawal fee: 0.0002
Symbol: TWT | Network: BSC (BEP20) | Withdrawal fee: 0.2
Symbol: AR | Network: AR | Withdrawal fee: 0.5
Symbol: ARB | Network: Arbitrum One | Withdrawal fee: 0.3
Symbol: GMX | Network: ARBI | Withdrawal fee: 0.005
Symbol: GMX | Network: AVAXC | Withdrawal fee: 0.01
Symbol: XETA | Network: AVAXC | Withdrawal fee: 20
Symbol: BTG | Network: BTG | Withdrawal fee: 0.001
Symbol: PSTAKE | Network: ERC20 | Withdrawal fee: 40
Symbol: LGX | Network: BSC (BEP20) | Withdrawal fee: 10
Symbol: MIX | Network: ERC20 | Withdrawal fee: 3000
Symbol: MIX | Network: BSC (BEP20) | Withdrawal fee: 200
Symbol: BTT | Network: TRC20 | Withdrawal fee: 3000000
Symbol: WEMIX | Network: KLAY | Withdrawal fee: 1
Symbol: WEMIX | Network: WEMIX | Withdrawal fee: 1
Symbol: ONE | Network: ONE | Withdrawal fee: 0.002
Symbol: ANKR | Network: ERC20 | Withdrawal fee: 130
Symbol: GSTS | Network: BSC (BEP20) | Withdrawal fee: 3
Symbol: SUSHI | Network: ERC20 | Withdrawal fee: 2.3
Symbol: MPLX | Network: SOL | Withdrawal fee: 1.4
Symbol: ALGO | Network: ALGO | Withdrawal fee: 0.01
Symbol: FLR | Network: FLR | Withdrawal fee: 0.01
Symbol: GNS | Network: MATIC | Withdrawal fee: 0.3
Symbol: GNS | Network: Arbitrum One | Withdrawal fee: 0.3
Symbol: SC | Network: SC | Withdrawal fee: 1
Symbol: SD | Network: ERC20 | Withdrawal fee: 5
Symbol: WBTC | Network: ERC20 | Withdrawal fee: 0.0006
Symbol: T | Network: ERC20 | Withdrawal fee: 100
Symbol: BABYDOGE | Network: BSC (BEP20) | Withdrawal fee: 400000000
Symbol: THN | Network: ERC20 | Withdrawal fee: 3000
Symbol: CUSD | Network: CELO | Withdrawal fee: 1
Symbol: ACA | Network: ACA | Withdrawal fee: 0.1
Symbol: MANA | Network: ERC20 | Withdrawal fee: 10
Symbol: ACH | Network: ERC20 | Withdrawal fee: 120
Symbol: ACH | Network: BSC (BEP20) | Withdrawal fee: 5
Symbol: RSS3 | Network: ERC20 | Withdrawal fee: 60
Symbol: XCAD | Network: ERC20 | Withdrawal fee: 2.5
Symbol: BEL | Network: BSC (BEP20) | Withdrawal fee: 0.2
Symbol: BEL | Network: ERC20 | Withdrawal fee: 10
Symbol: JUV | Network: CHZ | Withdrawal fee: 1
Symbol: MINA | Network: MINA | Withdrawal fee: 0.5
Symbol: ACM | Network: CHZ | Withdrawal fee: 1
Symbol: CO | Network: BSC (BEP20) | Withdrawal fee: 10
Symbol: CO | Network: ERC20 | Withdrawal fee: 50
Symbol: ACS | Network: SOL | Withdrawal fee: 80
Symbol: STAT | Network: Klaytn | Withdrawal fee: 2
Symbol: STAT | Network: ERC20 | Withdrawal fee: 0
Symbol: MKR | Network: ERC20 | Withdrawal fee: 0.0095
