# use CTRL + F to search

Symbol: USDT | Network: ALGO | Withdrawal fee: 0.001
Symbol: USDT | Network: ARBITRUMONE | Withdrawal fee: 1.0
Symbol: USDT | Network: BEP20 | Withdrawal fee: 0.8
Symbol: USDT | Network: BTT | Withdrawal fee: 0.001
Symbol: USDT | Network: AVALANCHE | Withdrawal fee: 0.21
Symbol: USDT | Network: CUBE | Withdrawal fee: 0.0144834
Symbol: USDT | Network: HRC20 | Withdrawal fee: 0.0328168
Symbol: USDT | Network: OPTIMISM | Withdrawal fee: 1.0
Symbol: USDT | Network: SOLANA | Withdrawal fee: 1.0
Symbol: USDT | Network: TRC20 | Withdrawal fee: 1.0
Symbol: USDT | Network: ERC20 | Withdrawal fee: 5.650249
Symbol: USDD | Network: BEP20 | Withdrawal fee: 0.16640306
Symbol: USDD | Network: ERC20 | Withdrawal fee: 5.70896911
Symbol: USDD | Network: TRC20 | Withdrawal fee: 0.5052
Symbol: HUSD | Network: CUBE | Withdrawal fee: 0.0144834
Symbol: HUSD | Network: HRC20 | Withdrawal fee: 0.0328168
Symbol: HUSD | Network: ERC20 | Withdrawal fee: 5.73099161
Symbol: HUSD | Network: IOST | Withdrawal fee: 0.05
Symbol: HUSD | Network: TRC20 | Withdrawal fee: 0.0
Symbol: GUSD | Network: ERC20 | Withdrawal fee: 2.0
Symbol: TUSD | Network: HRC20 | Withdrawal fee: 0.0328127
Symbol: TUSD | Network: TRC20 | Withdrawal fee: 1.0
Symbol: TUSD | Network: ERC20 | Withdrawal fee: 5.65
Symbol: USDP | Network: HRC20 | Withdrawal fee: 0.0328716
Symbol: USDP | Network: ERC20 | Withdrawal fee: 5.83397944
Symbol: USDC | Network: ALGOUSDC | Withdrawal fee: 0.0
Symbol: USDC | Network: ARC20USDC | Withdrawal fee: 1.0
Symbol: USDC | Network: BEP20USDC | Withdrawal fee: 0.18827829
Symbol: USDC | Network: CCHAINUSDC | Withdrawal fee: 0.21
Symbol: USDC | Network: CUBEUSDC | Withdrawal fee: 0.55
Symbol: USDC | Network: HRC20USDC | Withdrawal fee: 0.15
Symbol: USDC | Network: OPTUSDC | Withdrawal fee: 1.0
Symbol: USDC | Network: SOLUSDC | Withdrawal fee: 1.0
Symbol: USDC | Network: TRC20USDC | Withdrawal fee: 1.0
Symbol: USDC | Network: ERC20 | Withdrawal fee: 5.655586
Symbol: BTC | Network: BTC | Withdrawal fee: 0.0004
Symbol: BTC | Network: ERC20 | Withdrawal fee: 0.00018786
Symbol: BTC | Network: HRC20 | Withdrawal fee: 1.09e-06
Symbol: BTC | Network: TRC20BTC | Withdrawal fee: 4e-05
Symbol: ETH | Network: ARBIETH | Withdrawal fee: 0.00102
Symbol: ETH | Network: CUBEETH | Withdrawal fee: 9.49e-06
Symbol: ETH | Network: ETH | Withdrawal fee: 0.0012
Symbol: ETH | Network: HRC20ETH | Withdrawal fee: 1.742e-05
Symbol: ETH | Network: OPTETH | Withdrawal fee: 0.001
Symbol: XRP | Network: HRC20 | Withdrawal fee: 0.064337
Symbol: XRP | Network: XRP | Withdrawal fee: 0.25
Symbol: BCH | Network: BCC | Withdrawal fee: 0.001
Symbol: BCH | Network: HBCH | Withdrawal fee: 0.05908487
Symbol: BCH | Network: HRC20BCH | Withdrawal fee: 0.00025602
Symbol: EOS | Network: EOS | Withdrawal fee: 0.1
Symbol: EOS | Network: HRC20 | Withdrawal fee: 0.0269
Symbol: HT | Network: CUBE | Withdrawal fee: 0.00163575
Symbol: HT | Network: ERC20 | Withdrawal fee: 1.5149742
Symbol: HT | Network: HECOHT | Withdrawal fee: 0.0088
Symbol: HT | Network: TRC20 | Withdrawal fee: 0.0
Symbol: LTC | Network: ERC20 | Withdrawal fee: 0.08323514
Symbol: LTC | Network: HRC20 | Withdrawal fee: 0.00035296
Symbol: LTC | Network: LTC | Withdrawal fee: 0.001
Symbol: XMR | Network: XMR | Withdrawal fee: 0.0001
Symbol: ADA | Network: ADA | Withdrawal fee: 1.0
Symbol: ADA | Network: HRC20 | Withdrawal fee: 0.082609
Symbol: ETC | Network: ETC | Withdrawal fee: 0.01
Symbol: ETC | Network: HRC20ETC | Withdrawal fee: 0.00153669
Symbol: DASH | Network: DASH | Withdrawal fee: 0.002
Symbol: ZEC | Network: HRC20 | Withdrawal fee: 0.00083869
Symbol: ZEC | Network: ZEC | Withdrawal fee: 0.001
Symbol: IOTA | Network: IOTA | Withdrawal fee: 0.5
Symbol: NEO | Network: NEON3 | Withdrawal fee: 0.0
Symbol: TRX | Network: HRC20 | Withdrawal fee: 0.50516
Symbol: TRX | Network: TRX | Withdrawal fee: 1.0
Symbol: QTUM | Network: QTUM | Withdrawal fee: 0.01
Symbol: XEM | Network: XEM | Withdrawal fee: 4.0
Symbol: OMG | Network: HRC20 | Withdrawal fee: 0.02244176
Symbol: OMG | Network: ERC20 | Withdrawal fee: 3.86432009
Symbol: HC | Network: HC | Withdrawal fee: 0.005
Symbol: LSK | Network: LSK | Withdrawal fee: 0.08
Symbol: DCR | Network: DCR | Withdrawal fee: 0.01
Symbol: BTG | Network: BTG | Withdrawal fee: 0.001
Symbol: STEEM | Network: STEEM | Withdrawal fee: 0.01
Symbol: BTS | Network: BTS | Withdrawal fee: 1.0
Symbol: ICX | Network: ICX | Withdrawal fee: 0.02
Symbol: WAVES | Network: WAVES | Withdrawal fee: 0.002
Symbol: SNT | Network: ERC20 | Withdrawal fee: 389.32033457
Symbol: SALT | Network: ERC20 | Withdrawal fee: 12.93638585
Symbol: GLM | Network: ERC20 | Withdrawal fee: 22.63218449
Symbol: CMT | Network: CMT | Withdrawal fee: 1.0
Symbol: BTM | Network: BTM | Withdrawal fee: 10.0
Symbol: PAY | Network: ERC20 | Withdrawal fee: 438.48028195
Symbol: KNC | Network: HRC20 | Withdrawal fee: 0.04301778
Symbol: KNC | Network: ERC20 | Withdrawal fee: 7.40788945
Symbol: POWR | Network: ERC20 | Withdrawal fee: 28.0
Symbol: BAT | Network: ERC20 | Withdrawal fee: 20.65211658
Symbol: BAT | Network: HRC20BAT | Withdrawal fee: 0.11996513
Symbol: DGD | Network: ERC20 | Withdrawal fee: 0.01874976
Symbol: VET | Network: HRC20 | Withdrawal fee: 1.34056468
Symbol: VET | Network: VET | Withdrawal fee: 20.0
Symbol: QASH | Network: ERC20 | Withdrawal fee: 7149.956865
Symbol: FIRO | Network: XZC | Withdrawal fee: 0.02
Symbol: ZRX | Network: HRC20 | Withdrawal fee: 0.11773222
Symbol: ZRX | Network: ERC20 | Withdrawal fee: 20.274483
Symbol: GAS | Network: GASN3 | Withdrawal fee: 0.005
Symbol: MANA | Network: HRC20 | Withdrawal fee: 0.05492693
Symbol: MANA | Network: ERC20 | Withdrawal fee: 9.45880262
Symbol: ENG | Network: ERC20 | Withdrawal fee: 3.60904968
