# use CTRL + F to search

Symbol: LOKI | Network: LOKI | Withdrawal fee: 2.0
Symbol: NRG | Network: NRG | Withdrawal fee: 1.0
Symbol: FET | Network: ERC20 | Withdrawal fee: 20.0
Symbol: XMR | Network: XMR | Withdrawal fee: 0.001
Symbol: RIF | Network: RBTC | Withdrawal fee: 3.0
Symbol: ANKR | Network: ERC20 | Withdrawal fee: 150.0
Symbol: MTV | Network: ERC20 | Withdrawal fee: 5000.0
Symbol: CRO | Network: ERC20 | Withdrawal fee: 70.0
Symbol: KMD | Network: KMD | Withdrawal fee: 1.0
Symbol: RFOX | Network: ERC20 | Withdrawal fee: 350.0
Symbol: TT | Network: TT | Withdrawal fee: 20.0
Symbol: ATOM | Network: ATOM | Withdrawal fee: 0.01
Symbol: CHR | Network: ERC20 | Withdrawal fee: 45.0
Symbol: NIM | Network: NIM | Withdrawal fee: 40.0
Symbol: OCEAN | Network: ERC20 | Withdrawal fee: 20.0
Symbol: COTI | Network: COTI | Withdrawal fee: 60.0
Symbol: FX | Network: ERC20 | Withdrawal fee: 30.0
Symbol: XTZ | Network: XTZ | Withdrawal fee: 0.2
Symbol: BNB | Network: BEP2 | Withdrawal fee: 0.005
Symbol: JAR | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: ALGO | Network: ALGO | Withdrawal fee: 0.1
Symbol: ADA | Network: ADA | Withdrawal fee: 1.0
Symbol: XEM | Network: NEM | Withdrawal fee: 4.0
Symbol: CIX100 | Network: ERC20 | Withdrawal fee: 200.0
Symbol: ZEC | Network: ZEC | Withdrawal fee: 0.005
Symbol: WXT | Network: XLM | Withdrawal fee: 50.0
Symbol: FORESTPLUS | Network: ERC20 | Withdrawal fee: 1200.0
Symbol: BOLT | Network: ERC20 | Withdrawal fee: 1200.0
Symbol: ARPA | Network: ERC20 | Withdrawal fee: 200.0
Symbol: CHZ | Network: BEP2 | Withdrawal fee: 3.0
Symbol: NOIA | Network: ERC20 | Withdrawal fee: 95.0
Symbol: DAPPT | Network: ERC20 | Withdrawal fee: 6500.0
Symbol: EOSC | Network: EOSC | Withdrawal fee: 100.0
Symbol: WIN | Network: TRC20 | Withdrawal fee: 4500.0
Symbol: FKX | Network: ERC20 | Withdrawal fee: 200.0
Symbol: ENQ | Network: ENQ | Withdrawal fee: 50.0
Symbol: THETA | Network: THETA | Withdrawal fee: 0.2
Symbol: ONE | Network: ONE | Withdrawal fee: 10.0
Symbol: TOKO | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: TFUEL | Network: THETA | Withdrawal fee: 5.0
Symbol: LUNA | Network: TERRA | Withdrawal fee: 0.15
Symbol: VID | Network: ERC20 | Withdrawal fee: 150.0
Symbol: MXW | Network: MXW | Withdrawal fee: 30.0
Symbol: SXP | Network: SXP | Withdrawal fee: 1.0
Symbol: VIDT | Network: ERC20 | Withdrawal fee: 150.0
Symbol: AKRO | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: ROOBEE | Network: ERC20 | Withdrawal fee: 7500.0
Symbol: AMPL | Network: ERC20 | Withdrawal fee: 6.5
Symbol: MAP | Network: ERC20 | Withdrawal fee: 400.0
Symbol: POL | Network: TRC20 | Withdrawal fee: 50.0
Symbol: ARX | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: NWC | Network: XLM | Withdrawal fee: 3.0
Symbol: BEPRO | Network: ERC20 | Withdrawal fee: 4000.0
Symbol: VRA | Network: ERC20 | Withdrawal fee: 1150.0
Symbol: KSM | Network: KSM | Withdrawal fee: 0.01
Symbol: SUTER | Network: ERC20 | Withdrawal fee: 7500.0
Symbol: ACOIN | Network: ERC20 | Withdrawal fee: 300.0
Symbol: SENSO | Network: ERC20 | Withdrawal fee: 40.0
Symbol: PRE | Network: ERC20 | Withdrawal fee: 70.0
Symbol: XDB | Network: DigitalBits | Withdrawal fee: 100.0
Symbol: SYLO | Network: ERC20 | Withdrawal fee: 2400.0
Symbol: WOM | Network: ERC20 | Withdrawal fee: 185.0
Symbol: LYXE | Network: ERC20 | Withdrawal fee: 0.75
Symbol: CADH | Network: ERC20 | Withdrawal fee: 1.0
Symbol: JST | Network: TRC20 | Withdrawal fee: 30.0
Symbol: STX | Network: STX | Withdrawal fee: 1.5
Symbol: USDN | Network: WAVES | Withdrawal fee: 0.5
Symbol: XSR | Network: ERC20 | Withdrawal fee: 50000.0
Symbol: COMP | Network: ERC20 | Withdrawal fee: 0.15
Symbol: KAI | Network: KAI | Withdrawal fee: 40.0
Symbol: DOT | Network: DOT | Withdrawal fee: 0.1
Symbol: EWT | Network: EWT | Withdrawal fee: 0.5
Symbol: WEST | Network: WEST | Withdrawal fee: 4.0
Symbol: BNS | Network: ERC20 | Withdrawal fee: 12500.0
Symbol: ORN | Network: ERC20 | Withdrawal fee: 5.5
Symbol: WAVES | Network: WAVES | Withdrawal fee: 0.02
Symbol: SUKU | Network: ERC20 | Withdrawal fee: 60.0
Symbol: MLK | Network: LUK | Withdrawal fee: 1.0
Symbol: DIA | Network: ERC20 | Withdrawal fee: 15.0
Symbol: SHA | Network: VET | Withdrawal fee: 300.0
Symbol: LINK | Network: ERC20 | Withdrawal fee: 0.9
Symbol: USDJ | Network: TRC20 | Withdrawal fee: 1.0
Symbol: ALEPH | Network: ERC20 | Withdrawal fee: 85.0
Symbol: EFX | Network: EOS | Withdrawal fee: 10.0
Symbol: CKB | Network: CKB | Withdrawal fee: 50.0
Symbol: UMA | Network: ERC20 | Withdrawal fee: 4.0
Symbol: VELO | Network: XLM | Withdrawal fee: 0.25
Symbol: SUN | Network: TRC20 | Withdrawal fee: 150.0
Symbol: BUY | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: YFI | Network: ERC20 | Withdrawal fee: 0.0006
Symbol: UNI | Network: ERC20 | Withdrawal fee: 0.85
Symbol: UOS | Network: ERC20 | Withdrawal fee: 20.0
Symbol: KTS | Network: KTS | Withdrawal fee: 0.0
Symbol: DEGO | Network: ERC20 | Withdrawal fee: 6.0
Symbol: UDOO | Network: ERC20 | Withdrawal fee: 10000.0
Symbol: RFUEL | Network: ERC20 | Withdrawal fee: 850.0
Symbol: UBX | Network: ERC20 | Withdrawal fee: 75000.0
Symbol: FIL | Network: FIL | Withdrawal fee: 0.01
Symbol: COMB | Network: ERC20 | Withdrawal fee: 4500.0
Symbol: REAP | Network: ERC20 | Withdrawal fee: 100.0
Symbol: AAVE | Network: ERC20 | Withdrawal fee: 0.25
Symbol: TONE | Network: ERC20 | Withdrawal fee: 350.0
Symbol: OPCT | Network: ERC20 | Withdrawal fee: 450.0
Symbol: UQC | Network: ERC20 | Withdrawal fee: 2.0
Symbol: SHR | Network: ERC20 | Withdrawal fee: 3000.0
Symbol: UBXT | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: ROSE | Network: OASIS | Withdrawal fee: 0.1
Symbol: CTI | Network: ERC20 | Withdrawal fee: 175.0
Symbol: BUX | Network: BSC | Withdrawal fee: 5.0
Symbol: XHV | Network: XHV | Withdrawal fee: 0.5
Symbol: PLU | Network: ERC20 | Withdrawal fee: 0.5
Symbol: CAS | Network: BEP2 | Withdrawal fee: 20.214
Symbol: GRT | Network: ERC20 | Withdrawal fee: 40.0
Symbol: MSWAP | Network: BSC | Withdrawal fee: 1500.0
Symbol: GOM2 | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: REVV | Network: ERC20 | Withdrawal fee: 450.0
Symbol: LON | Network: ERC20 | Withdrawal fee: 5.0
Symbol: API3 | Network: ERC20 | Withdrawal fee: 3.5
Symbol: SUSHI | Network: ERC20 | Withdrawal fee: 4.5
Symbol: UNFI | Network: ERC20 | Withdrawal fee: 1.2
Symbol: 1INCH | Network: ERC20 | Withdrawal fee: 10.0
Symbol: HTR | Network: HTR | Withdrawal fee: 1.0
Symbol: FRONT | Network: ERC20 | Withdrawal fee: 25.0
Symbol: WBTC | Network: ERC20 | Withdrawal fee: 0.0002
Symbol: HYDRA | Network: HYDRA | Withdrawal fee: 0.3
Symbol: DFI | Network: DFI | Withdrawal fee: 0.1
Symbol: FRM | Network: ERC20 | Withdrawal fee: 90.0
Symbol: CRV | Network: ERC20 | Withdrawal fee: 6.0
Symbol: GZIL | Network: ZIL | Withdrawal fee: 0.005
Symbol: ZEN | Network: ZEN | Withdrawal fee: 0.002
Symbol: CUDOS | Network: ERC20 | Withdrawal fee: 1750.0
Symbol: MAP2 | Network: LUK | Withdrawal fee: 1.0
Symbol: REN | Network: ERC20 | Withdrawal fee: 65.0
Symbol: LRC | Network: ERC20 | Withdrawal fee: 20.0
Symbol: KLV | Network: TRC20 | Withdrawal fee: 275.0
Symbol: BOA | Network: ERC20 | Withdrawal fee: 175.0
Symbol: QNT | Network: ERC20 | Withdrawal fee: 0.045
Symbol: BAT | Network: ERC20 | Withdrawal fee: 25.0
Symbol: DAO | Network: ERC20 | Withdrawal fee: 4.0
Symbol: DOGE | Network: DOGE | Withdrawal fee: 20.0
Symbol: STRONG | Network: ERC20 | Withdrawal fee: 0.8
Symbol: TRIAS | Network: ERC20 | Withdrawal fee: 2.0
Symbol: MITX | Network: ERC20 | Withdrawal fee: 350.0
Symbol: CAKE | Network: BSC | Withdrawal fee: 0.075
