# use CTRL + F to search

Symbol: AGLD | Network: ERC20 | Withdrawal fee: 10.0
Symbol: BBF | Network: ERC20 | Withdrawal fee: 22.0
Symbol: XRPAYNET | Network: XRP | Withdrawal fee: 10.0
Symbol: SCY | Network: SOL | Withdrawal fee: 0.0
Symbol: KUJI | Network: KUJI | Withdrawal fee: 0.07
Symbol: NEAR | Network: NEAR | Withdrawal fee: 0.01
Symbol: JRT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BBS | Network: ERC20 | Withdrawal fee: 233.0
Symbol: PYLON | Network: ERC20 | Withdrawal fee: 0.0
Symbol: FARM | Network: ERC20 | Withdrawal fee: 0.1
Symbol: SDL | Network: ERC20 | Withdrawal fee: 695.0
Symbol: SDN | Network: SDN | Withdrawal fee: 0.1
Symbol: OPUL | Network: ALGO | Withdrawal fee: 4.0
Symbol: OPUL | Network: ERC20 | Withdrawal fee: 27.0
Symbol: PMEER | Network: PMEER | Withdrawal fee: 0.0
Symbol: POPK | Network: ERC20 | Withdrawal fee: 1401.0
Symbol: BCB | Network: ERC20 | Withdrawal fee: 858.0
Symbol: STOS | Network: ERC20 | Withdrawal fee: 10.0
Symbol: SDT | Network: ERC20 | Withdrawal fee: 2.0
Symbol: BCH | Network: BCH | Withdrawal fee: 0.001
Symbol: NWUMBO | Network: NONE | Withdrawal fee: 1.0
Symbol: GMEE | Network: ERC20 | Withdrawal fee: 415.0
Symbol: HUAHUA | Network: OSMO | Withdrawal fee: 0.0001
Symbol: HUAHUA | Network: HUAHUA | Withdrawal fee: 1.0
Symbol: JST | Network: TRC20 | Withdrawal fee: 28.0
Symbol: GPTOLD | Network: ECOC | Withdrawal fee: 0.0
Symbol: BCS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SGTOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PSTAKE | Network: ERC20 | Withdrawal fee: 79.0
Symbol: POOL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ISKY | Network: MATIC | Withdrawal fee: 0.0
Symbol: MOMAT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SEN | Network: ERC20 | Withdrawal fee: 200.0
Symbol: WOZX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WMT | Network: ADA | Withdrawal fee: 10.0
Symbol: SER | Network: SOL | Withdrawal fee: 140.0
Symbol: WEMIX | Network: WEMIX | Withdrawal fee: 0.1
Symbol: FLM | Network: NEO | Withdrawal fee: 1.0
Symbol: FLM | Network: NEO3 | Withdrawal fee: 0.1
Symbol: SEX | Network: FTM | Withdrawal fee: 0.0
Symbol: 1MIL | Network: ERC20 | Withdrawal fee: 5.0
Symbol: CASHZ | Network: KLAY | Withdrawal fee: 75.0
Symbol: FLR | Network: FLARE | Withdrawal fee: 1.0
Symbol: 2CRZ | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BDP | Network: ERC20 | Withdrawal fee: 43.0
Symbol: SFF | Network: MATIC | Withdrawal fee: 0.0
Symbol: FLY | Network: ERC20 | Withdrawal fee: 5765.0
Symbol: BDT | Network: ERC20 | Withdrawal fee: 46172.0
Symbol: FLX | Network: ERC20 | Withdrawal fee: 0.3578
Symbol: T | Network: ERC20 | Withdrawal fee: 133.0
Symbol: SFG | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SFI | Network: ERC20 | Withdrawal fee: 0.0001
Symbol: BDX | Network: BDX | Withdrawal fee: 1.0
Symbol: TYRANT | Network: ERC20 | Withdrawal fee: 25.0
Symbol: POOLXOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WNT | Network: MATIC | Withdrawal fee: 1.2
Symbol: SFT | Network: ERC20 | Withdrawal fee: 10.0
Symbol: FMG | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NEBL | Network: NEBL | Withdrawal fee: 0.01
Symbol: BEL | Network: ERC20 | Withdrawal fee: 9.0
Symbol: JUS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: FRTS | Network: FRTS | Withdrawal fee: 0.1
Symbol: IOEN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SPIT | Network: MATIC | Withdrawal fee: 0.0
Symbol: SGB | Network: SGB | Withdrawal fee: 1.0
Symbol: TWITFI | Network: ERC20 | Withdrawal fee: 15129.0
Symbol: STRD | Network: STRD | Withdrawal fee: 1.0
Symbol: NIKA | Network: ASTAREVM | Withdrawal fee: 0.0
Symbol: WOO | Network: ERC20 | Withdrawal fee: 79.0
Symbol: WOO | Network: MATIC | Withdrawal fee: 1.0
Symbol: STRP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: IOEX | Network: IOEX | Withdrawal fee: 20.0
Symbol: BFC | Network: ERC20 | Withdrawal fee: 83.0
Symbol: FNF | Network: KLAY | Withdrawal fee: 150.0
Symbol: NEER | Network: NEER | Withdrawal fee: 0.5
Symbol: SGT | Network: ERC20 | Withdrawal fee: 2.0
Symbol: UPUNK | Network: ERC20 | Withdrawal fee: 184.0
Symbol: ATID | Network: ASTAREVM | Withdrawal fee: 10.0
Symbol: BFT | Network: BITCI | Withdrawal fee: 3.0
Symbol: FNX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WAVES | Network: WAVES | Withdrawal fee: 1.0
Symbol: FNZ | Network: TONCOIN | Withdrawal fee: 1.0
Symbol: UNBNK | Network: ERC20 | Withdrawal fee: 0.0
Symbol: FLUX | Network: ZEL | Withdrawal fee: 1.0
Symbol: FLUX | Network: ERC20 | Withdrawal fee: 12.33
Symbol: EXFI | Network: SGB | Withdrawal fee: 0.01
Symbol: CEEK | Network: ERC20 | Withdrawal fee: 71.0
Symbol: DUCK | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NGOODLUNCH | Network: NONE | Withdrawal fee: 1.0
Symbol: PEARL | Network: TRC20 | Withdrawal fee: 0.0
Symbol: COREUM | Network: XRP | Withdrawal fee: 0.8
Symbol: SLCL | Network: SOL | Withdrawal fee: 0.0
Symbol: FON | Network: ERC20 | Withdrawal fee: 5.0
Symbol: FOR | Network: ERC20 | Withdrawal fee: 649.0
Symbol: SHIDO | Network: ERC20 | Withdrawal fee: 8000.0
Symbol: FOX | Network: ERC20 | Withdrawal fee: 127.0
Symbol: AIRDROP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SCRT | Network: SCRT | Withdrawal fee: 1.0
Symbol: TSOC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NUDES | Network: NEO3 | Withdrawal fee: 450000000.0
Symbol: XFIN | Network: ERC20 | Withdrawal fee: 1761.0
Symbol: XFIN | Network: HECO | Withdrawal fee: 100.0
Symbol: WQT | Network: ERC20 | Withdrawal fee: 1328.0
Symbol: BHD | Network: BHD | Withdrawal fee: 0.05
Symbol: OAS | Network: OASYS | Withdrawal fee: 1.0
Symbol: OAX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KDOE | Network: ETH | Withdrawal fee: 1.0
Symbol: APCG | Network: ERC20 | Withdrawal fee: 39.0
Symbol: BFLY | Network: ERC20 | Withdrawal fee: 600.0
Symbol: BHT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CRAB | Network: CRING | Withdrawal fee: 0.0
Symbol: JPEGS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NVIR | Network: ERC20 | Withdrawal fee: 133.0
Symbol: DLTA | Network: ERC20 | Withdrawal fee: 862.0
Symbol: PAWSWAP | Network: ERC20 | Withdrawal fee: 200000000.0
Symbol: WRT | Network: ADA | Withdrawal fee: 0.0
Symbol: DUEL | Network: MATIC | Withdrawal fee: 6.0
Symbol: WRX | Network: BEP2 | Withdrawal fee: 0.0
Symbol: RIDE | Network: EGLD | Withdrawal fee: 1.0
Symbol: PLANETS | Network: ALGO | Withdrawal fee: 70.0
Symbol: OBT | Network: ERC20 | Withdrawal fee: 10.0
Symbol: PIZZA | Network: EOS | Withdrawal fee: 0.0
Symbol: WHITE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: OBX | Network: AVAX_CCHAIN | Withdrawal fee: 0.0
Symbol: ATLS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: UNCX | Network: ERC20 | Withdrawal fee: 0.030483
Symbol: BIT | Network: ERC20 | Withdrawal fee: 16.0
Symbol: BSGG | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BSGG | Network: AVAX_CCHAIN | Withdrawal fee: 0.0
Symbol: OCC | Network: ERC20 | Withdrawal fee: 15.0
Symbol: OCC | Network: ADA | Withdrawal fee: 5.0
Symbol: SWINGBY | Network: ERC20 | Withdrawal fee: 1800.0
Symbol: SKL | Network: ERC20 | Withdrawal fee: 417.0
Symbol: SKP | Network: MATIC | Withdrawal fee: 2.0
Symbol: SKR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BLUES | Network: ADA | Withdrawal fee: 20.0
Symbol: SKT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: RICE | Network: HECO | Withdrawal fee: 4.0
Symbol: OCT | Network: ERC20 | Withdrawal fee: 25.0
Symbol: OCT | Network: NEAR | Withdrawal fee: 1.0
Symbol: FRR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WTF | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SLC | Network: SOL | Withdrawal fee: 60.0
Symbol: ORARE | Network: MATIC | Withdrawal fee: 2.0
Symbol: ODDZ | Network: ERC20 | Withdrawal fee: 251.0
Symbol: DECOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WTR | Network: AVAX_CCHAIN | Withdrawal fee: 5.0
Symbol: SLM | Network: TRC20 | Withdrawal fee: 0.0
Symbol: SLP | Network: ERC20 | Withdrawal fee: 2187.0
Symbol: ARTII | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SLIM | Network: SOL | Withdrawal fee: 31.0
Symbol: ODS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: HYCO | Network: ERC20 | Withdrawal fee: 7.0
Symbol: FSN | Network: FSN | Withdrawal fee: 1.0
Symbol: FST | Network: ERC20 | Withdrawal fee: 61.0
Symbol: ARTIC | Network: ERC20 | Withdrawal fee: 1098.0
Symbol: ATNT | Network: ERC20 | Withdrawal fee: 688.0
Symbol: STYLE | Network: ERC20 | Withdrawal fee: 1.0
Symbol: CENNZ | Network: CENNZ | Withdrawal fee: 50.0
Symbol: ROCKI | Network: ETH | Withdrawal fee: 123.0
Symbol: CRDC | Network: ERC20 | Withdrawal fee: 3104.0
Symbol: TOKE | Network: ERC20 | Withdrawal fee: 6.11
Symbol: FORCE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WGRT | Network: WICC | Withdrawal fee: 5.0
Symbol: UNFI | Network: ERC20 | Withdrawal fee: 0.6
Symbol: CEJI | Network: ERC20 | Withdrawal fee: 254.0
Symbol: FTM | Network: ERC20 | Withdrawal fee: 19.0
Symbol: FTM | Network: FTM | Withdrawal fee: 1.0
Symbol: MHUNT | Network: MATIC | Withdrawal fee: 6.0
Symbol: FTN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BTCBAM | Network: ERC20 | Withdrawal fee: 13.36
Symbol: FTP | Network: EMERALD | Withdrawal fee: 5.0
Symbol: TOMS | Network: ERC20 | Withdrawal fee: 1701.0
Symbol: FTT | Network: ERC20 | Withdrawal fee: 5.0
Symbol: SNE | Network: MATIC | Withdrawal fee: 0.0
Symbol: BLT | Network: SOL | Withdrawal fee: 45.0
Symbol: KPCOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BLY | Network: ERC20 | Withdrawal fee: 1210.0
Symbol: ATOM | Network: ATOM | Withdrawal fee: 0.05
Symbol: BLZ | Network: ERC20 | Withdrawal fee: 115.0
Symbol: BOBC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SNM | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BOBA | Network: ERC20 | Withdrawal fee: 47.0
Symbol: SNP | Network: ERC20 | Withdrawal fee: 0.076
Symbol: UNIC | Network: ERC20 | Withdrawal fee: 1.11
Symbol: NADA | Network: HBAR | Withdrawal fee: 15.0
Symbol: SNT | Network: ERC20 | Withdrawal fee: 533.0
Symbol: SNX | Network: ERC20 | Withdrawal fee: 1.9
Symbol: MCASH | Network: MATIC | Withdrawal fee: 30.0
Symbol: MOBX | Network: FET | Withdrawal fee: 0.1
Symbol: CRE8 | Network: ERC20 | Withdrawal fee: 5406.0
Symbol: UNII | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GERAOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CVNT | Network: CVNT | Withdrawal fee: 0.3
Symbol: API3 | Network: ERC20 | Withdrawal fee: 2.0
Symbol: TOMI | Network: ERC20 | Withdrawal fee: 2.84
Symbol: SOL | Network: SOL | Withdrawal fee: 0.01
Symbol: MINTYS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SOP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CELT | Network: OKT | Withdrawal fee: 20.0
Symbol: SOS | Network: ERC20 | Withdrawal fee: 24802002.0
Symbol: BNC | Network: BNC | Withdrawal fee: 0.1
Symbol: BNC | Network: BNCPOLKA | Withdrawal fee: 0.02
Symbol: UJENNY | Network: ERC20 | Withdrawal fee: 18.0
Symbol: CELR | Network: ERC20 | Withdrawal fee: 322.0
Symbol: BNB | Network: BEP2 | Withdrawal fee: 0.0005
Symbol: OGN | Network: ERC20 | Withdrawal fee: 103.0
Symbol: TON2 | Network: FREETON | Withdrawal fee: 10.0
Symbol: TON1 | Network: TON | Withdrawal fee: 0.0
Symbol: TOMO | Network: TOMO | Withdrawal fee: 0.1
Symbol: CELO | Network: CELO | Withdrawal fee: 0.1
Symbol: SOV | Network: ERC20 | Withdrawal fee: 24579812.0
Symbol: BNF | Network: ERC20 | Withdrawal fee: 0.0
Symbol: OGV | Network: ERC20 | Withdrawal fee: 1042.0
Symbol: OGY | Network: OGY | Withdrawal fee: 1.0
Symbol: REAP | Network: ERC20 | Withdrawal fee: 243.0
Symbol: SPA | Network: ERC20 | Withdrawal fee: 1176.0
Symbol: BNS | Network: ERC20 | Withdrawal fee: 10000.0
Symbol: SPUME | Network: ERC20 | Withdrawal fee: 445.0
Symbol: BNT | Network: ERC20 | Withdrawal fee: 11.63
Symbol: SPH | Network: ERC20 | Withdrawal fee: 200.0
Symbol: KUJIOLD | Network: LUNC | Withdrawal fee: 0.07
Symbol: SPI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SHDW | Network: CORE | Withdrawal fee: 0.1
Symbol: FWB | Network: ERC20 | Withdrawal fee: 0.0
Symbol: EOSBEAR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: FWF | Network: WAX | Withdrawal fee: 0.0
Symbol: ARTEQ | Network: ERC20 | Withdrawal fee: 300.0
Symbol: SONAR | Network: SOL | Withdrawal fee: 255.0
Symbol: OHM | Network: ERC20 | Withdrawal fee: 0.2518
Symbol: ZYRO | Network: ZIL | Withdrawal fee: 10.0
Symbol: FWG | Network: WAX | Withdrawal fee: 0.0
Symbol: RMESH | Network: ERC20 | Withdrawal fee: 0.0
Symbol: HOTCROSS | Network: ERC20 | Withdrawal fee: 963.0
Symbol: FX1 | Network: ERC20 | Withdrawal fee: 88426.0
Symbol: AERGO | Network: ERC20 | Withdrawal fee: 53.0
Symbol: BOO | Network: FTM | Withdrawal fee: 0.05
Symbol: ALBT | Network: ERC20 | Withdrawal fee: 40.0
Symbol: BOR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NRFB | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BOT | Network: SOL | Withdrawal fee: 177.0
Symbol: UNIQ | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SHILL | Network: SOL | Withdrawal fee: 125.0
Symbol: FWW | Network: WAX | Withdrawal fee: 500.0
Symbol: TOOB | Network: TRC20 | Withdrawal fee: 140.0
Symbol: BOW | Network: CORE | Withdrawal fee: 0.2
Symbol: GEAR | Network: ERC20 | Withdrawal fee: 1415.0
Symbol: UNIX | Network: ERC20 | Withdrawal fee: 266.0
Symbol: KAI | Network: ERC20 | Withdrawal fee: 444.0
Symbol: OIL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BPC | Network: OASYS | Withdrawal fee: 20.0
Symbol: ATRI | Network: ERC20 | Withdrawal fee: 1843.0
Symbol: CENT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: REAL | Network: SOL | Withdrawal fee: 12.0
Symbol: KAN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SHARBI | Network: ERC20 | Withdrawal fee: 11501273.0
Symbol: EGLD | Network: EGLD | Withdrawal fee: 0.01
Symbol: DDIM | Network: ERC20 | Withdrawal fee: 2.7829
Symbol: KAS | Network: KASPA | Withdrawal fee: 30.0
Symbol: KAR | Network: KAR | Withdrawal fee: 0.1
Symbol: WEMIXOLD | Network: KLAY | Withdrawal fee: 0.0
Symbol: KCASH | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KAT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: LOOKS | Network: ERC20 | Withdrawal fee: 30.0
Symbol: FXS | Network: ERC20 | Withdrawal fee: 2.98
Symbol: SHFT | Network: ERC20 | Withdrawal fee: 554.0
Symbol: OJA | Network: ERC20 | Withdrawal fee: 222.0
Symbol: ETHA | Network: ERC20 | Withdrawal fee: 198.0
Symbol: WZM | Network: ERC20 | Withdrawal fee: 389.0
Symbol: SRK | Network: ERC20 | Withdrawal fee: 21888.0
Symbol: ETHF | Network: ETF | Withdrawal fee: 0.1
Symbol: SRM | Network: ERC20 | Withdrawal fee: 10.0
Symbol: SRM | Network: SOL | Withdrawal fee: 3.8
Symbol: TORN | Network: ERC20 | Withdrawal fee: 0.74
Symbol: SPWN | Network: ERC20 | Withdrawal fee: 26778.0
Symbol: SPWN | Network: SOL | Withdrawal fee: 4400.0
Symbol: SRT | Network: ERC20 | Withdrawal fee: 67462.0
Symbol: SRS | Network: ASTAREVM | Withdrawal fee: 1.0
Symbol: TORG | Network: ERC20 | Withdrawal fee: 40401241.0
Symbol: ETHBEAR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BITCI | Network: BITCI | Withdrawal fee: 1.0
Symbol: FILDA | Network: HECO | Withdrawal fee: 1.5
Symbol: ETHS | Network: NONE | Withdrawal fee: 1.0
Symbol: FYN | Network: MATIC | Withdrawal fee: 0.0
Symbol: CHANGE | Network: HYDRA | Withdrawal fee: 0.6
Symbol: URUS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ETHW | Network: ETHW | Withdrawal fee: 0.1
Symbol: NEPT | Network: ERC20 | Withdrawal fee: 89496.0
Symbol: HANDY | Network: ERC20 | Withdrawal fee: 1350.0
Symbol: THALES | Network: OP | Withdrawal fee: 2.0
Symbol: SASHIMI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: WHALE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BQT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CANTO | Network: CANTO | Withdrawal fee: 1.0
Symbol: CANTO | Network: CANTOEVM | Withdrawal fee: 1.0
Symbol: OKB | Network: ERC20 | Withdrawal fee: 0.1593
Symbol: OKB | Network: OKT | Withdrawal fee: 0.05
Symbol: SLND | Network: SOL | Withdrawal fee: 4.5
Symbol: APLP | Network: ERC20 | Withdrawal fee: 933.0
Symbol: BRC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ATTN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BRG | Network: TRC20 | Withdrawal fee: 0.0
Symbol: OKS | Network: TRC20 | Withdrawal fee: 0.0
Symbol: SSV | Network: ERC20 | Withdrawal fee: 0.1302
Symbol: SSX | Network: KLAY | Withdrawal fee: 0.0
Symbol: OKT | Network: OKT | Withdrawal fee: 0.01
Symbol: KCS | Network: ERC20 | Withdrawal fee: 0.42
Symbol: NTVRK | Network: ERC20 | Withdrawal fee: 52.0
Symbol: LUFFYOLD2 | Network: ETH | Withdrawal fee: 1.0
Symbol: PICKLE | Network: ERC20 | Withdrawal fee: 9.13
Symbol: BRO | Network: FTM | Withdrawal fee: 0.0
Symbol: IDHUB | Network: ERC20 | Withdrawal fee: 0.0
Symbol: STA | Network: ERC20 | Withdrawal fee: 41.0
Symbol: PRIMATE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: STG | Network: ERC20 | Withdrawal fee: 20.0
Symbol: IOTX | Network: IOTX | Withdrawal fee: 1.0
Symbol: SHIB | Network: ERC20 | Withdrawal fee: 568891.0
Symbol: SHIB | Network: SOL | Withdrawal fee: 0.0
Symbol: KDA | Network: KDA | Withdrawal fee: 0.1
Symbol: FRONT | Network: ERC20 | Withdrawal fee: 6.0
Symbol: OLE | Network: ETH | Withdrawal fee: 191.0
Symbol: CERE | Network: ERC20 | Withdrawal fee: 927.0
Symbol: BSPT | Network: ERC20 | Withdrawal fee: 1884.0
