# use CTRL + F to search

Symbol: USDT | Network: OKTC | Withdrawal fee: 0.2
Symbol: USDT | Network: ERC20 | Withdrawal fee: 3.8161864
Symbol: USDT | Network: TRC20 | Withdrawal fee: 1.0
Symbol: USDT | Network: Polygon | Withdrawal fee: 0.8
Symbol: USDT | Network: Avalanche C-Chain | Withdrawal fee: 0.8
Symbol: USDT | Network: Arbitrum one | Withdrawal fee: 0.1
Symbol: USDT | Network: Optimism | Withdrawal fee: 0.0
Symbol: USDC | Network: OKTC | Withdrawal fee: 0.0
Symbol: USDC | Network: ERC20 | Withdrawal fee: 4.4576696
Symbol: USDC | Network: TRC20 | Withdrawal fee: 1.0
Symbol: USDC | Network: Polygon | Withdrawal fee: 0.8
Symbol: USDC | Network: Avalanche C-Chain | Withdrawal fee: 0.8
Symbol: USDC | Network: Arbitrum one | Withdrawal fee: 0.1
Symbol: USDC | Network: Optimism | Withdrawal fee: 0.1
Symbol: BTC | Network: Bitcoin | Withdrawal fee: 0.00032
Symbol: BTC | Network: Lightning | Withdrawal fee: 0.0
Symbol: BTC | Network: BTCK-OKTC | Withdrawal fee: 0.0
Symbol: ETH | Network: ERC20 | Withdrawal fee: 0.00096
Symbol: ETH | Network: ETHK-OKTC | Withdrawal fee: 0.0
Symbol: ETH | Network: Arbitrum one | Withdrawal fee: 0.0001
Symbol: ETH | Network: zkSync Lite | Withdrawal fee: 0.0002
Symbol: ETH | Network: Optimism | Withdrawal fee: 0.0005
Symbol: OKB | Network: ERC20 | Withdrawal fee: 0.28201615
Symbol: OKB | Network: OKTC | Withdrawal fee: 0.0
Symbol: OKT | Network: OKTC | Withdrawal fee: 0.008
Symbol: ETHW | Network: EthereumPoW | Withdrawal fee: 0.01
Symbol: LTC | Network: Litecoin | Withdrawal fee: 0.001
Symbol: LTC | Network: LTCK-OKTC | Withdrawal fee: 0.0
Symbol: BCH | Network: BitcoinCash | Withdrawal fee: 0.000512
Symbol: BCH | Network: BCHK-OKTC | Withdrawal fee: 0.0
Symbol: BSV | Network: Bitcoin SV | Withdrawal fee: 0.0004
Symbol: ETC | Network: Ethereum Classic | Withdrawal fee: 0.008
Symbol: ETC | Network: ETCK-OKTC | Withdrawal fee: 0.0
Symbol: USDK | Network: ERC20 | Withdrawal fee: 0.0
Symbol: USDK | Network: OKTC | Withdrawal fee: 0.0
Symbol: 1INCH | Network: ERC20 | Withdrawal fee: 8.42935398
Symbol: AAVE | Network: ERC20 | Withdrawal fee: 0.11783963
Symbol: ABT | Network: ERC20 | Withdrawal fee: 33.43191909
Symbol: ACA | Network: Acala | Withdrawal fee: 0.1
Symbol: ADA | Network: Cardano | Withdrawal fee: 0.8
Symbol: AERGO | Network: ERC20 | Withdrawal fee: 28.0
Symbol: AGLD | Network: ERC20 | Withdrawal fee: 8.50262286
Symbol: AKITA | Network: ERC20 | Withdrawal fee: 56336989.51496227
Symbol: ALCX | Network: ERC20 | Withdrawal fee: 0.216
Symbol: ALGO | Network: Algorand | Withdrawal fee: 0.008
Symbol: ALPHA | Network: ERC20 | Withdrawal fee: 32.8
Symbol: ANC | Network: Terra Classic | Withdrawal fee: 0.4
Symbol: ANT | Network: ERC20 | Withdrawal fee: 1.43496394
Symbol: APE | Network: ERC20 | Withdrawal fee: 1.19286807
Symbol: API3 | Network: ERC20 | Withdrawal fee: 2.85381462
Symbol: APIX | Network: ERC20 | Withdrawal fee: 2976.99351748
Symbol: APM | Network: ERC20 | Withdrawal fee: 739.17919517
Symbol: APT | Network: Aptos | Withdrawal fee: 0.001
Symbol: AR | Network: Arweave | Withdrawal fee: 0.01
Symbol: ARB | Network: Arbitrum one | Withdrawal fee: 0.02
Symbol: ARG | Network: Chiliz | Withdrawal fee: 0.05
Symbol: ARK | Network: ARK | Withdrawal fee: 0.16
Symbol: AST | Network: ERC20 | Withdrawal fee: 36.81
Symbol: ASTR | Network: Astar | Withdrawal fee: 0.0
Symbol: ATOM | Network: Cosmos | Withdrawal fee: 0.004
Symbol: AUCTION | Network: ERC20 | Withdrawal fee: 0.76474874
Symbol: AUCTION | Network: AUCTIONK-OKTC | Withdrawal fee: 0.0
Symbol: AVAX | Network: Avalanche X-Chain | Withdrawal fee: 0.008
Symbol: AVAX | Network: Avalanche C-Chain | Withdrawal fee: 0.0064
Symbol: AXS | Network: ERC20 | Withdrawal fee: 0.52831107
Symbol: AZY | Network: BSC | Withdrawal fee: 1.0
Symbol: BABYDOGE | Network: OKTC | Withdrawal fee: 0.0
Symbol: BABYDOGE | Network: BSC | Withdrawal fee: 900000000.0
Symbol: BADGER | Network: ERC20 | Withdrawal fee: 3.06651109
Symbol: BAL | Network: ERC20 | Withdrawal fee: 0.64239529
Symbol: BAND | Network: ERC20 | Withdrawal fee: 2.064
Symbol: BAT | Network: ERC20 | Withdrawal fee: 16.26465562
Symbol: BCD | Network: Bitcoin Diamond | Withdrawal fee: 0.008
Symbol: BETH | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BICO | Network: ERC20 | Withdrawal fee: 11.91726
Symbol: BLOK | Network: Polygon | Withdrawal fee: 10.0
Symbol: BLUR | Network: ERC20 | Withdrawal fee: 1.0
Symbol: BNB | Network: BSC | Withdrawal fee: 0.001
Symbol: BNT | Network: ERC20 | Withdrawal fee: 7.56408374
Symbol: BOBA | Network: ERC20 | Withdrawal fee: 22.3658996
Symbol: BORA | Network: Klaytn | Withdrawal fee: 0.3
Symbol: BORING | Network: ERC20 | Withdrawal fee: 1764.46306146
Symbol: BRWL | Network: ERC20 | Withdrawal fee: 10.0
Symbol: BTM | Network: Bytom | Withdrawal fee: 8.0
Symbol: BTT | Network: TRC20 | Withdrawal fee: 320000.0
Symbol: BZZ | Network: ERC20 | Withdrawal fee: 24.64948172
Symbol: CEEK | Network: BSC | Withdrawal fee: 0.1
Symbol: CEL | Network: ERC20 | Withdrawal fee: 12.96624
Symbol: CELO | Network: CELO-TOKEN | Withdrawal fee: 0.0
Symbol: CELR | Network: ERC20 | Withdrawal fee: 184.0
Symbol: CFG | Network: ERC20 | Withdrawal fee: 43.23703006
Symbol: CFX | Network: Conflux | Withdrawal fee: 0.01
Symbol: CGL | Network: Polygon | Withdrawal fee: 10.0
Symbol: CHE | Network: OKTC | Withdrawal fee: 0.0
Symbol: CHZ | Network: ERC20 | Withdrawal fee: 34.3873329
Symbol: CITY | Network: Chiliz | Withdrawal fee: 1.0
Symbol: CLV | Network: ERC20 | Withdrawal fee: 70.35565584
Symbol: CMT | Network: CyberMiles | Withdrawal fee: 10.0
Symbol: COMP | Network: ERC20 | Withdrawal fee: 0.10474907
